,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
0,Eastern Cape,18,13184.0,3172.0,9876.0,65.0,12.0,4.0,6.0,0.0,2021/11/01,,,,,,,,,,,,,,
1,Free State,20,11940.0,2117.0,9581.0,72.0,20.0,11.0,10.0,1.0,2021/11/01,,,,,,,,,,,,,,
2,Gauteng,94,72541.0,13670.0,57221.0,1052.0,193.0,90.0,60.0,0.0,2021/11/01,,,,,,,,,,,,,,
3,KwaZulu-Natal,47,37387.0,6878.0,29759.0,341.0,73.0,27.0,51.0,0.0,2021/11/01,,,,,,,,,,,,,,
4,Limpopo,7,7626.0,1637.0,5827.0,26.0,2.0,1.0,1.0,0.0,2021/11/01,,,,,,,,,,,,,,
5,Mpumalanga,9,9546.0,1587.0,7850.0,27.0,5.0,4.0,0.0,0.0,2021/11/01,,,,,,,,,,,,,,
6,North West,13,10830.0,1604.0,8732.0,61.0,10.0,6.0,11.0,0.0,2021/11/01,,,,,,,,,,,,,,
7,Northern Cape,6,4700.0,782.0,3675.0,29.0,16.0,11.0,1.0,0.0,2021/11/01,,,,,,,,,,,,,,
8,Western Cape,44,32931.0,5680.0,26437.0,670.0,128.0,61.0,33.0,0.0,2021/11/01,,,,,,,,,,,,,,
9,Eastern Cape,18.0,13198.0,3172.0,9891.0,64.0,11.0,4.0,5.0,3.0,2021/11/02,,,,,,,,,,,,,,
10,Free State,20.0,11941.0,2117.0,9585.0,68.0,19.0,10.0,11.0,0.0,2021/11/02,,,,,,,,,,,,,,
11,Gauteng,94.0,72564.0,13671.0,57255.0,1040.0,190.0,88.0,59.0,4.0,2021/11/02,,,,,,,,,,,,,,
12,KwaZulu-Natal,47.0,37405.0,6879.0,29783.0,335.0,77.0,27.0,51.0,3.0,2021/11/02,,,,,,,,,,,,,,
13,Limpopo,7.0,7626.0,1637.0,5827.0,26.0,2.0,1.0,1.0,0.0,2021/11/02,,,,,,,,,,,,,,
14,Mpumalanga,9.0,9549.0,1588.0,7852.0,27.0,5.0,4.0,0.0,1.0,2021/11/02,,,,,,,,,,,,,,
15,North West,13.0,10832.0,1604.0,8735.0,60.0,9.0,7.0,10.0,0.0,2021/11/02,,,,,,,,,,,,,,
16,Northern Cape,6.0,4704.0,782.0,3675.0,31.0,16.0,11.0,1.0,0.0,2021/11/02,,,,,,,,,,,,,,
17,Total,258.0,200752.0,37129.0,159047.0,2317.0,455.0,212.0,171.0,12.0,2021/11/02,,,,,,,,,,,,,,
18,,,,,,,,,,,2021/11/02,,,,,,,,,,,,,,
19,Summary of reported COVID-19 admissions by hospital group,,,,,,,,,,2021/11/02,,,,,,,,,,,,,,
20,Eastern Cape,18,13208.0,3172.0,9901.0,64.0,11.0,4.0,5.0,4.0,2021/11/03,,,,,,,,,,,,,,
21,Free State,20,11946.0,2121.0,9587.0,67.0,18.0,10.0,10.0,0.0,2021/11/03,,,,,,,,,,,,,,
22,Gauteng,94,72573.0,13672.0,57264.0,1039.0,194.0,88.0,56.0,3.0,2021/11/03,,,,,,,,,,,,,,
23,KwaZulu-Natal,47,37412.0,6881.0,29792.0,333.0,75.0,27.0,51.0,2.0,2021/11/03,,,,,,,,,,,,,,
24,Limpopo,7,7629.0,1637.0,5828.0,28.0,2.0,1.0,1.0,2.0,2021/11/03,,,,,,,,,,,,,,
25,Mpumalanga,9,9553.0,1588.0,7855.0,28.0,5.0,4.0,0.0,0.0,2021/11/03,,,,,,,,,,,,,,
26,North West,13,10834.0,1605.0,8736.0,60.0,9.0,7.0,10.0,1.0,2021/11/03,,,,,,,,,,,,,,
27,Northern Cape,6,4706.0,782.0,3679.0,29.0,16.0,11.0,1.0,1.0,2021/11/03,,,,,,,,,,,,,,
28,Western Cape,44,32935.0,5679.0,26450.0,665.0,125.0,60.0,33.0,0.0,2021/11/03,,,,,,,,,,,,,,
29,Eastern Cape,18,13210.0,3172.0,9902.0,65.0,11.0,4.0,7.0,2.0,2021/11/04,,,,,,,,,,,,,,
30,Free State,20,11948.0,2123.0,9591.0,64.0,20.0,13.0,9.0,2.0,2021/11/04,,,,,,,,,,,,,,
31,Gauteng,94,72582.0,13673.0,57269.0,1042.0,192.0,87.0,58.0,0.0,2021/11/04,,,,,,,,,,,,,,
32,KwaZulu-Natal,47,37419.0,6881.0,29794.0,338.0,74.0,27.0,53.0,4.0,2021/11/04,,,,,,,,,,,,,,
33,Limpopo,7,7629.0,1637.0,5829.0,27.0,2.0,1.0,1.0,1.0,2021/11/04,,,,,,,,,,,,,,
34,Mpumalanga,9,9554.0,1590.0,7859.0,23.0,6.0,3.0,0.0,1.0,2021/11/04,,,,,,,,,,,,,,
35,North West,13,10835.0,1606.0,8737.0,59.0,8.0,6.0,11.0,0.0,2021/11/04,,,,,,,,,,,,,,
36,Northern Cape,6,4709.0,782.0,3683.0,28.0,16.0,10.0,1.0,0.0,2021/11/04,,,,,,,,,,,,,,
37,Western Cape,44,32958.0,5683.0,26460.0,674.0,124.0,57.0,35.0,1.0,2021/11/04,,,,,,,,,,,,,,
38,Eastern Cape,18,13213.0,3172.0,9905.0,65.0,10.0,4.0,8.0,0.0,2021/11/06,,,,,,,,,,,,,,
39,Free State,20,11956.0,2124.0,9599.0,63.0,19.0,12.0,12.0,0.0,2021/11/06,,,,,,,,,,,,,,
40,Gauteng,94,72601.0,13677.0,57287.0,1038.0,184.0,81.0,60.0,9.0,2021/11/06,,,,,,,,,,,,,,
41,KwaZulu-Natal,47,37427.0,6882.0,29800.0,339.0,74.0,28.0,53.0,2.0,2021/11/06,,,,,,,,,,,,,,
42,Limpopo,7,7632.0,1638.0,5830.0,28.0,2.0,1.0,1.0,1.0,2021/11/06,,,,,,,,,,,,,,
43,Mpumalanga,9,9555.0,1591.0,7860.0,22.0,5.0,3.0,1.0,0.0,2021/11/06,,,,,,,,,,,,,,
44,North West,13,10838.0,1608.0,8740.0,57.0,8.0,6.0,10.0,0.0,2021/11/06,,,,,,,,,,,,,,
45,Northern Cape,6,4711.0,783.0,3687.0,25.0,14.0,9.0,1.0,0.0,2021/11/06,,,,,,,,,,,,,,
46,Western Cape,44,32968.0,5684.0,26484.0,657.0,120.0,57.0,33.0,0.0,2021/11/06,,,,,,,,,,,,,,
47,Eastern Cape,18,13213.0,3172.0,9905.0,65.0,10.0,4.0,8.0,0.0,2021/11/07,,,,,,,,,,,,,,
48,Free State,20,11958.0,2124.0,9602.0,62.0,19.0,12.0,10.0,1.0,2021/11/07,,,,,,,,,,,,,,
49,Gauteng,94,72605.0,13677.0,57288.0,1041.0,185.0,81.0,61.0,3.0,2021/11/07,,,,,,,,,,,,,,
50,KwaZulu-Natal,47,37427.0,6883.0,29802.0,336.0,73.0,28.0,53.0,0.0,2021/11/07,,,,,,,,,,,,,,
51,Limpopo,7,7632.0,1638.0,5830.0,28.0,2.0,1.0,1.0,0.0,2021/11/07,,,,,,,,,,,,,,
52,Mpumalanga,9,9555.0,1591.0,7862.0,20.0,5.0,3.0,0.0,0.0,2021/11/07,,,,,,,,,,,,,,
53,North West,13,10839.0,1608.0,8741.0,57.0,8.0,6.0,10.0,0.0,2021/11/07,,,,,,,,,,,,,,
54,Northern Cape,6,4711.0,783.0,3688.0,24.0,14.0,9.0,1.0,0.0,2021/11/07,,,,,,,,,,,,,,
55,Western Cape,44,32970.0,5685.0,26488.0,654.0,120.0,57.0,33.0,0.0,2021/11/07,,,,,,,,,,,,,,
56,Eastern Cape,18,13214.0,3174.0,9912.0,57.0,7.0,4.0,6.0,0.0,2021/11/08,,,,,,,,,,,,,,
57,Free State,20,11960.0,2125.0,9603.0,62.0,18.0,11.0,10.0,1.0,2021/11/08,,,,,,,,,,,,,,
58,Gauteng,94,72616.0,13679.0,57310.0,1028.0,181.0,80.0,61.0,2.0,2021/11/08,,,,,,,,,,,,,,
59,KwaZulu-Natal,47,37437.0,6886.0,29810.0,335.0,70.0,30.0,50.0,1.0,2021/11/08,,,,,,,,,,,,,,
60,Limpopo,7,7632.0,1638.0,5829.0,29.0,2.0,1.0,1.0,0.0,2021/11/08,,,,,,,,,,,,,,
61,Mpumalanga,9,9556.0,1592.0,7866.0,16.0,4.0,2.0,0.0,1.0,2021/11/08,,,,,,,,,,,,,,
62,North West,13,10841.0,1608.0,8744.0,56.0,8.0,6.0,9.0,0.0,2021/11/08,,,,,,,,,,,,,,
63,Northern Cape,6,4712.0,784.0,3689.0,23.0,13.0,9.0,1.0,0.0,2021/11/08,,,,,,,,,,,,,,
64,Western Cape,44,32972.0,5685.0,26494.0,652.0,118.0,56.0,33.0,0.0,2021/11/08,,,,,,,,,,,,,,
65,Eastern Cape,18,13219.0,3174.0,9914.0,60.0,7.0,5.0,7.0,1.0,2021/11/09,,,,,,,,,,,,,,
66,Free State,20,11959.0,2125.0,9604.0,60.0,17.0,9.0,10.0,0.0,2021/11/09,,,,,,,,,,,,,,
67,Gauteng,94,72630.0,13680.0,57326.0,1025.0,182.0,79.0,60.0,3.0,2021/11/09,,,,,,,,,,,,,,
68,KwaZulu-Natal,47,37442.0,6886.0,29817.0,333.0,69.0,29.0,50.0,1.0,2021/11/09,,,,,,,,,,,,,,
69,Limpopo,7,7634.0,1639.0,5834.0,25.0,1.0,0.0,1.0,0.0,2021/11/09,,,,,,,,,,,,,,
70,Mpumalanga,9,9556.0,1592.0,7867.0,15.0,4.0,2.0,0.0,0.0,2021/11/09,,,,,,,,,,,,,,
71,North West,13,10842.0,1608.0,8745.0,56.0,8.0,6.0,9.0,1.0,2021/11/09,,,,,,,,,,,,,,
72,Northern Cape,6,4712.0,784.0,3692.0,22.0,13.0,10.0,1.0,0.0,2021/11/09,,,,,,,,,,,,,,
73,Western Cape,44,32974.0,5685.0,26500.0,648.0,116.0,55.0,33.0,1.0,2021/11/09,,,,,,,,,,,,,,
74,Eastern Cape,18,13220.0,3175.0,9916.0,58.0,8.0,5.0,7.0,1.0,2021/11/10,,,,,,,,,,,,,,
75,Free State,20,11962.0,2126.0,9610.0,56.0,15.0,8.0,10.0,0.0,2021/11/10,,,,,,,,,,,,,,
76,Gauteng,94,72654.0,13683.0,57336.0,1036.0,180.0,75.0,61.0,6.0,2021/11/10,,,,,,,,,,,,,,
77,KwaZulu-Natal,47,37451.0,6886.0,29827.0,332.0,69.0,28.0,49.0,1.0,2021/11/10,,,,,,,,,,,,,,
